Function,Category,Subcategory,Alice,Bob,Craig,Carol,Dave,Frank
Govern,GV.OC,GV.OC-01,0,5,5,5,5,5
Govern,GV.OC,GV.OC-02,0,5,5,5,6,5
Govern,GV.OC,GV.OC-03,3,3,2,3,5,3
Govern,GV.OC,GV.OC-04,3,3,3,3,5,2
Govern,GV.OC,GV.OC-05,3,3,2,3,5,2
Govern,GV.RM,GV.RM-01,1,2,2,2,5,1
Govern,GV.RM,GV.RM-02,5,4,5,4,5,5
Govern,GV.RM,GV.RM-03,0,0,0,0,6,0
Govern,GV.RM,GV.RM-04,0,0,5,0,6,0
Govern,GV.RM,GV.RM-05,0,5,0,0,5,0
Govern,GV.RM,GV.RM-06,0,5,0,5,6,5
Govern,GV.RM,GV.RM-07,3,3,3,3,5,3
Govern,GV.RR,GV.RR-01,1,1,0,0,5,1
Govern,GV.RR,GV.RR-02,1,1,1,1,5,0
Govern,GV.RR,GV.RR-03,1,0,1,0,7,0
Govern,GV.RR,GV.RR-04,0,1,0,0,7,0
Govern,GV.PO,GV.PO-01,3,3,2,2,5,2
Govern,GV.PO,GV.PO-02,5,5,5,0,5,0
Govern,GV.OV,GV.OV-01,0,0,0,0,6,0
Govern,GV.OV,GV.OV-02,5,5,0,5,5,0
Govern,GV.OV,GV.OV-03,5,0,0,0,6,5
Govern,GV.SC,GV.SC-01,0,0,5,5,6,0
Govern,GV.SC,GV.SC-02,1,1,1,1,5,1
Govern,GV.SC,GV.SC-03,5,0,5,5,5,5
Govern,GV.SC,GV.SC-04,5,5,0,0,5,5
Govern,GV.SC,GV.SC-05,0,5,5,0,6,0
Govern,GV.SC,GV.SC-06,4,4,4,4,5,4
Govern,GV.SC,GV.SC-07,2,3,2,2,5,3
Govern,GV.SC,GV.SC-08,1,0,1,0,5,1
Govern,GV.SC,GV.SC-09,3,3,3,3,5,3
Govern,GV.SC,GV.SC-10,0,1,0,0,5,0
Identify,ID.AM,ID.AM-01,5,0,5,0,5,5
Identify,ID.AM,ID.AM-02,0,0,5,5,5,5
Identify,ID.AM,ID.AM-03,2,2,2,1,5,2
Identify,ID.AM,ID.AM-04,1,0,1,0,6,1
Identify,ID.AM,ID.AM-05,3,3,2,3,5,2
Identify,ID.AM,ID.AM-07,0,5,5,5,5,0
Identify,ID.AM,ID.AM-08,4,4,5,4,5,5
Identify,ID.RA,ID.RA-01,0,1,1,1,5,0
Identify,ID.RA,ID.RA-02,2,2,3,2,5,3
Identify,ID.RA,ID.RA-03,0,1,1,1,6,0
Identify,ID.RA,ID.RA-04,1,0,0,1,7,1
Identify,ID.RA,ID.RA-05,3,4,4,3,5,4
Identify,ID.RA,ID.RA-06,1,1,2,2,5,1
Identify,ID.RA,ID.RA-07,0,0,5,0,5,5
Identify,ID.RA,ID.RA-08,2,2,3,2,5,3
Identify,ID.RA,ID.RA-09,1,2,2,2,5,2
Identify,ID.RA,ID.RA-10,2,3,2,3,5,2
Identify,ID.IM,ID.IM-01,4,3,3,3,5,3
Identify,ID.IM,ID.IM-02,1,0,1,1,7,0
Identify,ID.IM,ID.IM-03,1,0,0,1,7,1
Identify,ID.IM,ID.IM-04,3,2,3,3,5,2
Protect,PR.AA,PR.AA-01,4,4,4,4,5,3
Protect,PR.AA,PR.AA-02,0,0,1,0,6,1
Protect,PR.AA,PR.AA-03,4,4,4,4,5,3
Protect,PR.AA,PR.AA-04,0,5,0,0,5,0
Protect,PR.AA,PR.AA-05,0,0,0,0,5,5
Protect,PR.AA,PR.AA-06,5,4,4,5,5,4
Protect,PR.AT,PR.AT-01,2,3,2,2,5,3
Protect,PR.AT,PR.AT-02,2,1,2,1,5,2
Protect,PR.DS,PR.DS-01,3,2,3,2,5,3
Protect,PR.DS,PR.DS-02,5,0,5,5,5,5
Protect,PR.DS,PR.DS-10,2,1,2,1,5,2
Protect,PR.DS,PR.DS-11,5,0,5,0,5,0
Protect,PR.PS,PR.PS-01,0,0,5,0,6,0
Protect,PR.PS,PR.PS-02,0,1,0,1,6,1
Protect,PR.PS,PR.PS-03,1,0,1,0,5,1
Protect,PR.PS,PR.PS-04,0,0,1,0,6,1
Protect,PR.PS,PR.PS-05,0,5,0,0,5,0
Protect,PR.PS,PR.PS-06,4,3,4,4,5,4
Protect,PR.IR,PR.IR-01,2,2,2,3,5,3
Protect,PR.IR,PR.IR-02,5,0,5,5,5,0
Protect,PR.IR,PR.IR-03,4,4,4,4,5,4
Protect,PR.IR,PR.IR-04,4,5,4,5,5,5
Detect,DE.CM,DE.CM-01,4,4,4,3,5,4
Detect,DE.CM,DE.CM-02,4,4,4,3,5,4
Detect,DE.CM,DE.CM-03,3,2,3,3,5,2
Detect,DE.CM,DE.CM-06,0,5,5,0,5,0
Detect,DE.CM,DE.CM-09,4,3,4,3,5,4
Detect,DE.AE,DE.AE-02,3,4,4,3,5,4
Detect,DE.AE,DE.AE-03,5,5,4,5,5,4
Detect,DE.AE,DE.AE-04,0,0,1,0,7,0
Detect,DE.AE,DE.AE-06,5,0,0,0,5,0
Detect,DE.AE,DE.AE-07,5,0,0,5,5,0
Detect,DE.AE,DE.AE-08,5,5,4,5,5,5
Respond,RS.MA,RS.MA-01,0,0,1,0,7,0
Respond,RS.MA,RS.MA-02,0,0,0,5,6,0
Respond,RS.MA,RS.MA-03,0,0,5,0,5,0
